country_name,country_identifier,observation_year,adaptive_capacity_index,foreign_direct_investment_net_inflows_pct_gdp,forest_area_pct_land_area,real_gdp_constant_2015_usd,renewable_energy_consumption_pct_final_energy_use,natural_capital_dependency_index,urban_population_pct_total_population,readiness_index,official_development_assistance_usd,ecological_footprint_index,co2_emissions_metric_tonnes_per_capita,total_greenhouse_gas_emissions_kt_co2e,average_temperature_celsius,annual_precipitation_mm,land_area_sq_km,surface_area_sq_km,total_population,greenhouse_gas_emissions_metric_tonnes_per_capita,data_observacao
Angola,4,1995,0.763211678196819,8.49502107849993,62.9547565573113,29932764107.05385,73.9458883392515,0.16332997,44.169,0.188132070642997,416420013.427734,0.663358874564097,0.773025566852549,48460.0,22.05,910.23,1246700.0,1246700.0,13945205,3.4750295890236105,1995-01-01
Angola,4,1996,0.764099457485055,2.3988290745703438,62.830093847758086,33986968355.635845,73.1396004507038,0.16332997,45.346,0.188131675886678,459309997.558594,0.66751413937818,0.7923213849972245,46480.0,21.83,941.9,1246700.0,1246700.0,14400722,3.22761594870035,1996-01-01
Angola,4,1997,0.76337906070577,5.381376139195164,62.70543113820486,36459274698.2462,73.7344159506134,0.16332997,46.525,0.181241910620633,354660003.66210896,0.667097937941529,0.7887531997289863,46680.0,21.98,1026.99,1246700.0,1246700.0,14871572,3.1388746260314644,1997-01-01
Angola,4,1998,0.762899604696924,17.12056561546287,62.58076842865164,38169632669.28981,76.8197936265394,0.16332997,47.71,0.174347708898564,335269989.013672,0.686595637469944,0.7402536524388655,49410.0,22.25,981.27,1246700.0,1246700.0,15359600,3.21688064793354,1998-01-01
Angola,4,1999,0.763214955400306,40.16716220371557,62.45610571909842,39002299281.52316,73.4107838285377,0.16332997,48.897,0.174628613969594,387540008.544922,0.672098392734248,0.7972586403456611,48770.0,21.71,1009.29,1246700.0,1246700.0,15866871,3.07369991222592,1999-01-01
Angola,4,2000,0.764043985559056,9.6238239763664,62.3314430095452,40193672967.31384,73.4411010742188,0.16332997,50.087,0.174966229303795,302209991.455078,0.708569347909429,0.7544763717456955,49590.0,21.79,1001.48,1246700.0,1246700.0,16395477,3.0246146543952337,2000-01-01
Angola,4,2001,0.764290302731866,24.009117061571462,61.886218817678674,41884218272.00085,72.3373031616211,0.16332997,51.274,0.187308805237622,282730010.986328,0.707627884413456,0.7618428050969467,51730.0,21.97,992.54,1246700.0,1246700.0,16945753,3.0526822856440785,2001-01-01
Angola,4,2002,0.759476754933247,11.406190073536374,61.44099462581214,47607984243.67127,70.4209976196289,0.16332997,52.461,0.199674120752437,414029998.779297,0.746560246040828,0.7774230856298994,55610.0,22.05,1025.33,1246700.0,1246700.0,17519418,3.1741922020468945,2002-01-01
Angola,4,2003,0.757644809377306,20.081013641086827,60.995770433945616,49031391565.529785,65.1404037475586,0.16332997,53.645,0.214765725945796,493500000.0,0.756370800223186,0.993848349116355,65370.0,22.16,973.73,1246700.0,1246700.0,18121477,3.607321853511168,2003-01-01
Angola,4,2004,0.755122099335941,9.329241384057685,60.55054624207909,54401732106.977325,61.915699005127,0.16332997,54.827,0.216345553768715,1144569946.28906,0.75711996494062,1.0283536670857203,67740.0,21.88,1008.23,1246700.0,1246700.0,18758138,3.6112326287395904,2004-01-01
Angola,4,2005,0.753011185100627,-3.526655479151967,60.10532205021256,62577722356.60457,68.378303527832,0.16332997,56.0,0.208152650252956,414679992.675781,0.744076611765594,0.9370366917016524,67230.0,22.29,964.15,1246700.0,1246700.0,19433604,3.459471542180236,2005-01-01
Angola,4,2006,0.75021027806637,-0.0720010214346084,59.66009785834603,69803999474.4559,62.1273002624512,0.16332997,56.764,0.187618958161458,163520004.272461,0.751993390004942,1.0094340395153227,68080.0,21.66,1030.52,1246700.0,1246700.0,20149905,3.378675978869379,2006-01-01
Angola,4,2007,0.740630082551965,-1.3687616279279593,59.21487366647951,79583552534.91447,58.4916000366211,0.16332997,57.524,0.19121141205659,259980010.986328,0.796906743902367,1.1236352782252972,74850.0,21.64,995.45,1246700.0,1246700.0,20905360,3.580421480424159,2007-01-01
Angola,4,2008,0.749502411431171,1.896315050740785,58.769649474612976,88469962099.17885,54.8820991516113,0.16332997,58.282,0.198130118041288,369040008.544922,0.973855965655761,1.1559928457501776,76080.0,21.6,1010.13,1246700.0,1246700.0,21695636,3.5066960009837924,2008-01-01
Angola,4,2009,0.751125227779116,3.136662133168373,58.32442528274645,89229664824.29716,52.4138984680176,0.16332997,59.034,0.205101044293495,238940002.441406,1.14562760659927,1.2059015891029137,79690.0,21.83,1014.13,1246700.0,1246700.0,22514275,3.539532141274813,2009-01-01
Angola,4,2010,0.754449892442239,-3.8511104636142415,57.87920109087993,93159279071.89468,50.7648010253906,0.16332997,59.783,0.191322713858145,235169998.168945,0.936434858051763,1.2215147407886209,84120.0,21.99,988.73,1246700.0,1246700.0,23356247,3.6016060285712856,2010-01-01
Angola,4,2011,0.743473546847634,-2.7048747173995324,57.4339760968958,96393747204.01508,49.239200592041,0.16332997,60.528,0.189345253670571,192940002.441406,0.999082468142281,1.2163169789758,86040.0,21.56,1004.56,1246700.0,1246700.0,24220660,3.552339201326471,2011-01-01
